Name,Team,ERA,GB/FB,K%,BB%,HardHit%,Zone%,WHIP,Relief-IP
Emmanuel Clase,CLE,0.61,2.37,24.40%,3.70%,29.20%,45.30%,0.66,74.1
Kirby Yates,TEX,1.17,1.08,35.90%,11.80%,32.80%,40.10%,0.83,61.2
Hunter Gaddis,CLE,1.57,0.82,23.70%,5.00%,36.60%,44.70%,0.76,74.2
A.J. Puk,2 Tms,1.72,0.92,35.00%,5.10%,32.60%,48.60%,0.75,57.2
Bryan Hudson,MIL,1.73,1.02,26.80%,7.40%,36.20%,47.80%,0.72,62.1
Tanner Scott,2 Tms,1.75,1.69,28.60%,12.20%,27.20%,45.60%,1.13,71.3
Alex Vesia,LAD,1.76,0.34,33.10%,12.50%,34.50%,40.90%,0.99,66.1
Nick Martinez,CIN,1.86,1.08,22.50%,2.90%,23.00%,43.60%,0.86,53.1
Matt Strahm,PHI,1.87,0.63,33.30%,4.60%,37.60%,49.30%,0.75,62.2
Cade Smith,CLE,1.91,1.22,35.60%,5.90%,42.80%,48.90%,0.9,75.1
Tim Herrin,CLE,1.92,1.51,26.50%,9.70%,36.50%,43.20%,0.97,65.2
Ryan Walker,SFG,1.94,1.46,32.00%,5.90%,30.60%,45.30%,0.85,79
Raisel Iglesias,ATL,1.95,1.12,26.30%,5.00%,30.90%,41.50%,0.74,69.1
Jason Adam,2 Tms,1.95,1.07,28.70%,8.20%,37.80%,38.50%,0.86,73.2
Griffin Jax,MIN,2.03,1.62,34.40%,5.40%,38.40%,42.30%,0.87,71
Ryan Helsley,STL,2.04,0.9,29.70%,8.60%,34.80%,46.30%,1.1,66.1
Dylan Lee,ATL,2.11,0.77,31.70%,7.10%,32.00%,44.90%,1.11,59.2
Andrés Muñoz,SEA,2.12,1.78,33.20%,11.20%,33.30%,33.90%,0.96,59.1
Jeff Hoffman,PHI,2.17,0.92,33.60%,6.00%,41.40%,43.70%,0.96,66.1
Tyson Miller,2 Tms,2.32,0.62,23.00%,4.70%,34.50%,41.40%,0.81,61.3
Tyler Holton,DET,2.33,1.27,21.50%,4.90%,33.70%,41.90%,0.76,77.1
Tayler Scott,HOU,2.33,1.19,24.50%,12.80%,34.70%,36.10%,1.22,65.2
Orion Kerkering,PHI,2.36,2.11,29.60%,6.40%,32.90%,44.90%,1.08,61
Taylor Rogers,SFG,2.4,1.25,25.70%,8.80%,32.90%,46.30%,1.25,60
Carlos Estévez,2 Tms,2.45,0.66,23.60%,5.70%,42.30%,49.60%,0.91,55
Justin Martinez,ARI,2.48,3.32,29.50%,11.70%,31.80%,41.70%,1.31,72.2
Mason Miller,OAK,2.49,0.94,41.80%,8.40%,32.50%,42.60%,0.88,65
Derek Law,WSN,2.6,1.74,20.80%,6.60%,35.20%,39.80%,1.18,90
Joe Jiménez,ATL,2.62,0.99,29.60%,8.30%,32.70%,44.40%,0.99,68.2
Kevin Kelly,TBR,2.67,2.09,22.70%,3.20%,36.80%,49.10%,0.96,70.2
Jared Koenig,MIL,2.73,1.26,22.70%,9.10%,34.80%,48.00%,1.29,56
Robert Suarez,SDP,2.77,1.03,22.90%,6.20%,40.40%,46.30%,1.05,65
Andrew Kittredge,STL,2.8,1.25,23.30%,7.00%,39.50%,42.90%,1.13,70.2
Tyler Rogers,SFG,2.82,1.85,17.60%,2.10%,30.50%,52.30%,1.04,70.1
Will Vest,DET,2.82,1.77,21.80%,6.20%,38.00%,45.50%,1.12,70.1
Adrian Morejon,SDP,2.83,1.6,26.10%,7.70%,31.80%,47.00%,1.32,63.2
John King,STL,2.85,2.64,15.30%,5.60%,36.90%,42.50%,1.2,60
Jorge López,2 Tms,2.89,1.4,23.00%,8.80%,39.70%,45.40%,1.23,52.3
Luke Weaver,NYY,2.89,0.78,31.10%,7.90%,38.40%,35.80%,0.93,84
José Ureña,TEX,2.92,1.56,16.40%,9.70%,39.00%,42.20%,1.27,64.2
Justin Slaten,BOS,2.93,1.71,25.90%,4.00%,36.80%,44.40%,1.01,55.1
Jeremiah Estrada,SDP,2.95,0.81,37.30%,9.10%,37.00%,45.90%,1.07,61
Elvis Peguero,MIL,2.98,2.32,20.70%,11.90%,40.40%,39.30%,1.54,51.1
Daniel Hudson,LAD,3,0.81,24.90%,7.50%,49.40%,41.80%,1.03,63
David Robertson,TEX,3,1.48,33.40%,9.10%,37.60%,43.60%,1.11,72
Jacob Webb,BAL,3.02,0.8,24.50%,11.40%,34.40%,44.10%,1.18,56.2
Joel Payamps,MIL,3.05,0.94,25.10%,7.70%,43.60%,43.50%,0.97,59
Bryan Abreu,HOU,3.1,0.96,31.70%,9.80%,37.50%,41.80%,1.16,78.1
Jesse Chavez,ATL,3.13,1.29,20.80%,7.20%,34.40%,42.30%,1.25,63.1
Greg Weissert,BOS,3.13,1.1,22.10%,7.60%,40.50%,45.90%,1.34,63.1
Buck Farmer,CIN,3.13,0.85,23.20%,9.90%,36.00%,39.50%,1.23,69
Clay Holmes,NYY,3.14,3.38,25.10%,8.10%,36.50%,42.90%,1.3,63
Jason Foley,DET,3.15,1.57,18.40%,8.00%,41.20%,48.00%,1.18,60
Yennier Cano,BAL,3.15,3.03,26.10%,9.60%,43.40%,38.60%,1.3,60
Colin Holderman,PIT,3.16,0.89,25.10%,11.20%,38.00%,40.60%,1.31,51.1
Beau Brieske,DET,3.18,0.98,24.60%,9.20%,34.10%,41.10%,1.14,51
Bryce Jarvis,ARI,3.19,1.18,14.70%,12.80%,40.10%,44.90%,1.43,59.1
Calvin Faucher,MIA,3.19,1.44,26.80%,11.10%,39.40%,39.80%,1.4,53.2
Ryan Yarbrough,2 Tms,3.19,1.06,16.30%,8.00%,29.40%,44.50%,1.03,98.2
Chad Green,TOR,3.21,0.74,21.90%,6.70%,45.90%,42.40%,1.03,53.1
Kevin Ginkel,ARI,3.21,1.23,26.50%,5.20%,40.80%,40.20%,1.2,70
Jorge Alcala,MIN,3.24,0.67,24.70%,8.50%,32.50%,43.00%,1.03,58.1
Ryan Thompson,ARI,3.26,2.69,19.10%,5.50%,44.60%,43.20%,1.19,66.1
Brent Suter,CIN,3.27,0.99,19.20%,4.20%,30.10%,42.00%,1.14,63.1
Cole Sands,MIN,3.28,0.85,29.10%,4.10%,36.50%,43.30%,1,71.1
Kenley Jansen,BOS,3.29,0.57,28.40%,9.20%,37.00%,50.40%,1.06,54.2
Hunter Strickland,LAA,3.31,0.7,19.40%,8.20%,35.50%,42.00%,1.09,73.1
Keegan Akin,BAL,3.32,0.76,31.00%,6.10%,37.40%,46.10%,0.94,78.2
JoJo Romero,STL,3.36,1.56,21.00%,6.60%,39.80%,40.50%,1.15,59
Lucas Erceg,2 Tms,3.36,1.51,28.50%,6.30%,33.30%,41.60%,1.05,61.2
Tim Hill,2 Tms,3.36,4.35,10.70%,6.50%,40.60%,49.20%,1.43,67
Michael Kopech,2 Tms,3.46,0.82,31.50%,12.20%,38.20%,42.30%,1.15,67.2
Luis L. Ortiz,PIT,3.49,1.05,19.00%,8.50%,40.30%,42.10%,1.31,49
Ryan Pressly,HOU,3.49,1.7,23.80%,7.40%,41.60%,42.40%,1.34,56.2
Ryan Fernandez,STL,3.51,1.29,24.90%,11.20%,32.80%,37.00%,1.35,66.2
Andrew Chafin,2 Tms,3.51,0.9,28.50%,12.60%,34.00%,28.90%,1.47,56.1
Edwin Díaz,NYM,3.52,1.07,38.90%,9.30%,30.30%,42.30%,1.04,53.2
Bryse Wilson,MIL,3.57,0.86,19.90%,3.90%,41.50%,46.00%,1.16,63
Aaron Bummer,ATL,3.58,3.18,28.30%,7.40%,32.30%,41.90%,1.43,55.1
Seth Martinez,HOU,3.59,0.98,16.20%,8.10%,40.20%,40.20%,1.27,52.2
Génesis Cabrera,TOR,3.59,1.14,18.50%,10.70%,41.10%,40.10%,1.47,62.2
Trent Thornton,SEA,3.61,0.99,26.20%,6.50%,36.80%,43.40%,1.13,72.1
Evan Phillips,LAD,3.62,0.98,27.60%,7.50%,32.70%,44.70%,1.19,54.2
Michael Tonkin,3 Tms,3.63,1.19,25.00%,8.80%,35.00%,39.90%,1.26,79.1
Jhoan Duran,MIN,3.64,2.9,28.90%,6.60%,35.50%,43.90%,1.16,54.1
Phil Maton,2 Tms,3.66,1.31,22.60%,9.10%,33.10%,40.50%,1.11,63.3
John Schreiber,KCR,3.66,1.59,20.50%,8.90%,37.00%,41.00%,1.32,51.2
Tanner Banks,2 Tms,3.67,1.49,24.60%,8.50%,33.50%,43.30%,1.3,68.2
Pierce Johnson,ATL,3.67,1.21,28.40%,10.60%,39.40%,44.10%,1.3,56.1
Kyle Finnegan,WSN,3.68,1.44,22.10%,8.90%,48.10%,50.70%,1.34,63.2
Tyler Ferguson,OAK,3.68,0.86,30.00%,11.60%,38.70%,45.80%,1.09,51.1
Austin Voth,SEA,3.69,0.81,24.60%,7.30%,29.50%,37.80%,1.05,61
Matthew Liberatore,STL,3.69,1.16,21.00%,7.60%,36.60%,48.10%,1.23,63.1
José Ruiz,PHI,3.71,1.32,24.00%,7.80%,42.20%,42.80%,1.33,51
Yuki Matsui,SDP,3.73,0.85,26.80%,10.50%,37.30%,39.40%,1.16,62.2
Garrett Cleavinger,TBR,3.75,1,26.70%,11.70%,33.80%,41.20%,1.38,60
Reed Garrett,NYM,3.77,1.26,33.60%,12.10%,37.10%,35.00%,1.4,57.1
Aroldis Chapman,PIT,3.79,1.19,37.00%,14.70%,41.30%,45.60%,1.35,61.2
Dylan Floro,2 Tms,3.8,1.36,17.20%,6.10%,38.50%,44.20%,1.19,68.2
Josh Hader,HOU,3.8,0.58,37.80%,9.00%,38.80%,40.30%,0.96,71
Peter Lambert,COL,3.81,1.24,17.70%,11.50%,35.60%,42.30%,1.52,52
Pedro Avila,2 Tms,3.81,1.36,23.20%,10.20%,41.60%,39.70%,1.32,82.2
Nick Sandlin,CLE,3.81,0.82,27.40%,10.40%,43.10%,36.60%,1.25,56.2
T.J. McFarland,OAK,3.81,2.45,16.60%,7.20%,34.90%,41.60%,1.24,56.2
Huascar Brazobán,2 Tms,3.83,1.47,23.50%,11.50%,24.60%,38.50%,1.22,51.2
Drew Smyly,CHC,3.84,0.82,21.80%,9.70%,38.20%,42.30%,1.4,58.2
Roansy Contreras,2 Tms,3.86,1.11,20.20%,9.70%,39.50%,45.40%,1.25,60.2
Alex Faedo,DET,3.86,1.1,21.40%,9.20%,35.50%,36.70%,1.27,49
Angel Zerpa,KCR,3.86,2.31,20.50%,7.90%,42.60%,48.50%,1.45,53.2
Joe Mantiply,ARI,3.88,1.69,22.40%,7.60%,42.80%,39.70%,1.19,58
Carson Fulmer,LAA,3.88,1.14,20.40%,11.60%,40.30%,39.40%,1.48,48.2
Dennis Santana,2 Tms,3.89,0.87,24.00%,7.30%,32.10%,43.60%,1.09,71.2
Sean Hjelle,SFG,3.9,2.66,22.30%,4.20%,37.40%,43.00%,1.21,80.2
Kyle Nicolas,PIT,3.95,1.35,22.60%,12.80%,40.50%,38.50%,1.5,54.2
Alexis Díaz,CIN,3.99,0.69,22.70%,12.80%,38.00%,42.30%,1.3,56.1
Kyle Muller,OAK,4.01,1.22,17.80%,5.00%,43.20%,49.70%,1.18,49.1
Kyle Leahy,STL,4.07,0.97,17.30%,5.20%,43.50%,45.00%,1.03,48.2
Anthony Bender,MIA,4.08,1.78,25.90%,7.90%,40.10%,44.70%,1.28,53
José Alvarado,PHI,4.09,1.44,24.40%,10.90%,41.00%,40.90%,1.25,61.2
Héctor Neris,2 Tms,4.1,0.96,24.60%,10.80%,40.40%,40.40%,1.4,59.1
Jared Shuster,CHW,4.22,0.8,17.10%,11.40%,31.80%,39.80%,1.48,64
Robert Garcia,WSN,4.22,1.44,29.90%,6.40%,30.20%,44.70%,1.19,59.2
Scott Barlow,CLE,4.25,1.51,28.20%,12.90%,32.60%,35.40%,1.36,55
Victor Vodnik,COL,4.28,2.02,20.30%,11.60%,48.80%,40.80%,1.48,73.2
José Leclerc,TEX,4.32,0.82,30.90%,11.10%,30.70%,38.10%,1.32,66.2
Adam Ottavino,NYM,4.34,1.03,28.60%,9.40%,33.80%,44.20%,1.29,56
Randy Rodríguez,SFG,4.35,0.97,22.90%,7.60%,38.50%,42.10%,1.25,49.2
Declan Cronin,MIA,4.35,2.44,23.50%,8.20%,41.70%,44.90%,1.42,70.1
Jacob Barnes,WSN,4.36,0.99,19.90%,7.20%,40.60%,39.80%,1.32,66
Lucas Sims,2 Tms,4.38,0.51,22.80%,14.00%,31.30%,39.80%,1.44,49.1
Justin Anderson,CHW,4.39,0.9,23.60%,13.20%,35.30%,39.20%,1.5,53.1
Gregory Soto,2 Tms,4.42,1.8,26.60%,11.10%,43.80%,43.00%,1.57,52.3
Hunter Harvey,2 Tms,4.44,1.47,25.10%,7.30%,47.60%,45.80%,1.32,50.2
Erik Miller,SFG,4.45,1.52,31.30%,13.20%,42.50%,39.20%,1.32,56.2
Seranthony Domínguez,2 Tms,4.45,0.75,26.70%,8.20%,32.90%,43.30%,1.24,58.2
Jalen Beeks,2 Tms,4.5,1.23,17.60%,8.70%,33.00%,40.40%,1.49,69.3
Mark Leiter Jr.,2 Tms,4.5,1.38,33.60%,8.60%,40.00%,36.90%,1.33,57.3
Shelby Miller,DET,4.53,0.86,21.80%,5.80%,41.10%,45.90%,0.97,55.2
Cionel Pérez,BAL,4.53,1.89,19.30%,11.80%,34.00%,43.30%,1.4,53.2
Nate Pearson,2 Tms,4.55,0.91,26.30%,7.10%,45.10%,45.60%,1.32,65.1
Zack Kelly,BOS,4.59,1.31,23.90%,10.80%,31.40%,42.70%,1.35,49
Caleb Ferguson,2 Tms,4.64,1.58,26.90%,10.00%,37.30%,43.30%,1.49,54.1
Joey Wentz,2 Tms,4.68,1.11,24.00%,10.90%,36.10%,38.80%,1.47,67.1
Hoby Milner,MIL,4.74,1.78,23.80%,5.40%,36.60%,42.00%,1.2,62.2
Chase Anderson,2 Tms,4.76,0.63,17.30%,7.40%,32.80%,41.50%,1.24,56.2
Tanner Rainey,WSN,4.76,0.51,19.00%,12.60%,42.90%,41.30%,1.49,51
Josh Winckowski,BOS,4.86,1.62,21.00%,8.90%,43.00%,43.40%,1.57,53.2
Trevor Richards,2 Tms,4.87,0.74,21.70%,13.30%,38.50%,40.10%,1.28,61
Ryne Stanek,2 Tms,4.88,0.69,27.80%,10.40%,41.80%,42.20%,1.32,55.1
Camilo Doval,SFG,4.88,2.25,28.80%,14.40%,42.80%,38.00%,1.58,59
Luis García,2 Tms,4.88,1.77,20.90%,5.90%,39.30%,41.80%,1.29,58.3
Fernando Cruz,CIN,4.9,0.96,36.10%,12.90%,42.90%,37.90%,1.37,60.2
James McArthur,KCR,4.92,2,19.80%,5.70%,40.30%,43.20%,1.45,56.2
Burch Smith,2 Tms,4.95,1.2,19.10%,5.00%,44.80%,46.70%,1.35,55.4
Andrew Nardi,MIA,5.07,0.62,33.30%,8.60%,34.70%,39.50%,1.25,49.2
