Rank,Name,Team,GB%,FB%,Pitches,G,BB/9,WHIP,R-IP,HardHit%
1,Adrian Morejon,SDP,53.00%,28.70%,606,48,1.83,0.81,44.1,25.00%
2,Caleb Ferguson,PIT,48.70%,31.00%,626,42,3.12,1.12,40.1,25.20%
3,Hogan Harris,ATH,30.40%,39.10%,758,29,5.63,1.65,40,29.30%
4,Scott Barlow,CIN,44.40%,36.10%,782,47,5.61,1.25,43.1,29.40%
5,Mark Leiter Jr.,NYY,49.00%,30.60%,623,41,3.15,1.57,34.1,29.60%
6,Ben Casparius,LAD,35.20%,40.70%,874,26,1.82,1.16,54.1,30.10%
7,Calvin Faucher,MIA,45.10%,29.40%,649,40,3.96,1.4,36.1,30.10%
8,Brent Suter,CIN,43.60%,40.20%,617,28,2.54,1.05,39,30.30%
9,Brad Keller,CHC,59.80%,26.50%,729,41,2.93,1.19,43,30.30%
10,Eric Orze,TBR,40.40%,43.10%,616,31,3.4,1.21,39.2,30.30%
11,Bryan King,HOU,35.80%,35.80%,656,42,1.74,1.04,41.1,30.40%
12,Tyler Kinley,COL,37.60%,40.80%,813,45,5.44,1.56,43,30.70%
13,Caleb Thielbar,CHC,41.50%,46.80%,546,42,2.7,0.9,36.2,30.90%
14,Phil Maton,STL,48.20%,31.30%,600,37,3.57,1.19,35.1,31.00%
15,Lou Trivino,2 Tms,34.80%,46.40%,657,35,3.19,1.39,36.2,31.00%
16,Tyler Rogers,SFG,63.40%,21.60%,552,49,0.77,0.79,46.2,31.30%
17,Orion Kerkering,PHI,43.00%,37.40%,647,42,4.66,1.45,36.2,31.50%
18,Carlos Vargas,SEA,52.70%,29.70%,687,43,3.72,1.48,46,31.50%
19,Josh Hader,HOU,22.00%,60.40%,712,41,2.22,0.83,44.2,31.60%
20,Steven Okert,HOU,17.50%,63.90%,611,41,1.62,0.7,44.1,31.70%
21,Steven Cruz,KCR,45.60%,39.80%,504,38,2.84,0.95,38,32.00%
22,Jorge Alcala,2 Tms,37.50%,47.10%,674,35,4.66,1.58,36.2,32.40%
23,Raisel Iglesias,ATL,36.40%,46.70%,580,41,2.09,1.24,38.2,32.40%
24,Brock Stewart,MIN,41.10%,47.90%,483,35,2.97,1.12,30.1,32.40%
25,Dennis Santana,PIT,43.60%,39.30%,579,41,1.52,0.8,41.1,32.50%
26,Erik Miller,SFG,47.50%,28.70%,482,36,6,1.47,30,32.50%
27,Spencer Bivens,SFG,50.00%,35.90%,731,32,2.66,1.2,47.1,32.90%
28,Robert Garcia,TEX,37.80%,36.70%,576,43,3.58,1.25,37.2,33.00%
29,Dylan Lee,ATL,36.40%,44.90%,692,46,2.27,0.96,43.2,33.00%
