Name,Team,ERA,GB/FB,Relief-IP,K%,BB%,HardHit%,Zone%,Pace (pi)
Yuki Matsui,SDP,5.06,0.56,37.1,24.50%,11.70%,42.30%,38.90%,23.5
Félix Bautista,BAL,2.6,1.4,34.2,35.20%,16.20%,42.00%,40.20%,22
Luke Weaver,NYY,2.78,0.43,35.2,27.30%,7.20%,38.90%,40.40%,22
Pete Fairbanks,TBR,2.92,1.41,37,20.60%,9.70%,42.60%,47.90%,21.7
Tyler Kinley,COL,6.28,0.92,43,21.70%,13.10%,30.70%,40.10%,21.7
Steven Wilson,CHW,2.08,0.6,30.1,21.80%,12.00%,39.50%,43.90%,21.7
Alex Vesia,LAD,2.66,0.43,40.2,35.80%,7.50%,36.80%,46.70%,21.6
Ryan Helsley,STL,3.18,1.38,34,24.80%,9.40%,44.30%,46.90%,21.4
Mitch Spence,ATH,4.38,1.25,39,21.60%,8.20%,42.70%,38.50%,21.3
Devin Williams,NYY,4.82,1.15,37.1,31.40%,9.60%,34.10%,38.50%,21.2
Matt Strahm,PHI,3.2,0.41,39.1,27.80%,7.40%,42.90%,48.40%,21.2
Brock Stewart,MIN,2.67,0.86,30.1,31.20%,8.00%,32.40%,45.30%,21.1
Joe Ross,PHI,5.31,1.46,42.1,16.80%,7.90%,41.10%,45.40%,21
Chris Martin,TEX,2.36,1.06,34.1,25.70%,4.30%,40.80%,50.50%,21
Jeremiah Estrada,SDP,2.86,0.83,44,33.30%,8.70%,39.80%,43.30%,20.9
Trevor Megill,MIL,2.27,0.97,35.2,29.70%,10.30%,36.80%,44.20%,20.8
Fernando Cruz,NYY,3,0.78,33,41.20%,10.70%,41.00%,35.30%,20.8
Kyle Finnegan,WSN,4.25,1.26,36,19.30%,8.70%,40.20%,49.20%,20.8
Joey Wentz,3 Tms,6.32,0.88,37,19.50%,12.10%,47.50%,41.40%,20.7
Emilio Pagán,CIN,2.83,0.54,41.1,30.90%,8.50%,41.40%,43.30%,20.7
Jhoan Duran,MIN,1.62,4.16,44.1,27.00%,8.60%,40.50%,45.60%,20.7
Kenley Jansen,LAA,3.28,0.47,35.2,23.50%,7.40%,47.60%,51.80%,20.6
Jordan Leasure,CHW,4.24,0.91,34,26.30%,14.10%,38.00%,38.70%,20.6
Robert Suarez,SDP,3.54,0.83,40.2,26.70%,7.50%,42.90%,47.60%,20.5
Aroldis Chapman,BOS,1.18,0.97,38,40.60%,7.00%,42.70%,47.70%,20.5
Pierce Johnson,ATL,2.78,0.8,35.2,27.90%,7.10%,42.20%,46.40%,20.4
Mark Leiter Jr.,NYY,4.46,1.6,34.1,29.10%,7.60%,29.60%,39.50%,20.4
Luis García,2 Tms,4.78,2.79,32,20.40%,12.00%,52.10%,42.60%,20.4
Seth Halvorsen,COL,5.15,1.6,36.2,21.30%,10.60%,39.40%,43.20%,20.4
Caleb Boushley,TEX,4.83,1,31.2,23.30%,4.50%,51.60%,43.10%,20.4
Valente Bellozo,MIA,3.69,0.65,31.2,16.30%,3.90%,39.20%,43.60%,20.3
Adrian Morejon,SDP,1.83,1.85,44.1,25.00%,5.20%,25.00%,47.20%,20.3
