Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Start-IP
Garrett Crochet,BOS,52,1.42,45.90%,34.70%,30.60%,36.70%,1.06,135.1
Logan Webb,SFG,77,2.14,42.40%,33.20%,25.80%,38.60%,1.21,131.2
Zack Wheeler,PHI,57,1.05,43.40%,34.20%,33.40%,33.80%,0.88,128
Framber Valdez,HOU,67,2.83,43.60%,33.00%,24.90%,46.90%,1.13,128
Tarik Skubal,DET,54,1.08,49.30%,37.60%,34.00%,32.60%,0.81,127.2
Paul Skenes,PIT,45,1.33,43.10%,33.20%,27.80%,39.80%,0.91,127
Mitch Keller,PIT,83,1.23,48.70%,30.90%,18.70%,42.40%,1.16,125
Carlos Rodón,NYY,77,0.93,37.30%,32.70%,27.50%,41.80%,1.05,124.2
Cristopher Sánchez,PHI,57,2.57,43.10%,34.10%,26.70%,40.10%,1.09,124
Robbie Ray,SFG,73,0.85,42.60%,32.60%,26.20%,43.60%,1.13,123.1
Zack Littell,TBR,88,1.01,46.90%,36.30%,17.00%,41.90%,1.09,122.1
Merrill Kelly,ARI,80,1.2,39.90%,34.00%,24.20%,43.80%,1.06,122
Max Fried,NYY,61,1.63,42.90%,30.70%,23.10%,36.80%,1.01,122
José Berríos,TOR,96,0.96,39.90%,31.50%,20.40%,42.20%,1.26,121
Zac Gallen,ARI,134,1.06,41.10%,30.30%,22.20%,47.30%,1.37,121
Bryan Woo,SEA,77,0.94,48.10%,32.60%,24.30%,38.90%,0.94,120.2
Ryan Pepiot,TBR,89,0.93,46.50%,32.60%,24.20%,42.90%,1.16,120.1
José Soriano,LAA,94,4.42,41.60%,30.00%,20.00%,47.40%,1.43,120
Jake Irvin,WSN,117,1.11,48.00%,29.10%,16.40%,47.10%,1.33,119.2
Hunter Brown,HOU,64,1.32,41.10%,32.60%,31.20%,32.00%,0.99,119
Matthew Boyd,CHC,54,0.87,46.20%,34.90%,23.20%,36.90%,1.01,118.2
Jacob deGrom,TEX,57,1.09,45.10%,35.30%,26.90%,40.10%,0.9,118.1
Luis Severino,ATH,122,1.14,42.80%,30.90%,15.90%,42.60%,1.39,118.1
Yusei Kikuchi,LAA,76,0.97,46.40%,29.80%,24.40%,42.40%,1.38,118
Kevin Gausman,TOR,99,0.74,43.00%,34.10%,23.40%,39.80%,1.14,116.2
Freddy Peralta,MIL,70,0.82,38.00%,31.90%,25.50%,34.50%,1.08,116.2
Tanner Bibee,CLE,107,1.17,44.50%,28.40%,20.50%,38.70%,1.22,116
Nick Pivetta,SDP,71,0.71,47.30%,31.50%,27.90%,42.30%,1,115.1
Luis Castillo,SEA,85,1.01,42.90%,33.70%,21.00%,45.00%,1.21,115
David Peterson,NYM,73,2.35,42.00%,31.70%,20.30%,45.20%,1.22,115
Shane Baz,TBR,116,1.32,45.40%,32.50%,23.10%,40.50%,1.3,114
Kris Bubic,KCR,57,1.45,46.00%,35.50%,24.90%,39.60%,1.14,113.2
Nick Lodolo,CIN,77,0.97,43.60%,34.70%,22.20%,41.70%,1.08,113.2
Nick Martinez,CIN,112,0.89,47.50%,29.00%,17.10%,34.60%,1.26,113
MacKenzie Gore,WSN,87,0.84,41.20%,34.60%,29.70%,41.00%,1.27,112.2
Chris Bassitt,TOR,97,1.36,44.20%,30.90%,22.10%,34.20%,1.37,112.1
Michael Wacha,KCR,86,0.94,45.10%,31.90%,18.10%,32.20%,1.24,112
Sonny Gray,STL,100,1.16,43.50%,34.40%,27.20%,38.00%,1.15,111.1
Joe Ryan,MIN,62,0.74,46.80%,31.20%,29.60%,40.50%,0.9,111.1
Spencer Schwellenbach,ATL,74,1.55,48.30%,36.70%,24.90%,41.50%,0.97,110.2
Grant Holmes,ATL,93,1.22,42.20%,32.80%,25.40%,41.20%,1.33,110
Taj Bradley,TBR,108,1.36,44.10%,29.60%,20.70%,38.20%,1.24,109.2
Yoshinobu Yamamoto,LAD,62,1.67,41.30%,33.10%,28.40%,40.50%,1.05,109.1
Jesús Luzardo,PHI,102,1.22,42.30%,33.80%,27.50%,40.20%,1.43,109
Clay Holmes,NYM,88,2.05,43.00%,31.50%,18.90%,41.60%,1.27,108.2
Dylan Cease,SDP,117,0.85,39.00%,36.00%,30.00%,40.60%,1.3,108.2
Dean Kremer,BAL,100,0.94,45.70%,31.50%,19.00%,34.60%,1.26,108.1
Mitchell Parker,WSN,121,0.87,44.90%,33.20%,14.80%,49.60%,1.4,108
Tyler Anderson,LAA,108,0.62,42.00%,31.90%,18.10%,34.20%,1.41,107.2
Seth Lugo,KCR,70,0.92,45.40%,28.20%,21.80%,46.00%,1.09,107
Brandon Pfaadt,ARI,116,1.16,42.40%,31.80%,19.70%,48.90%,1.26,106.1
Chris Paddack,MIN,127,0.8,42.00%,35.00%,16.60%,44.20%,1.31,105
Andre Pallante,STL,116,2.94,42.60%,29.70%,14.90%,42.00%,1.34,105
Gavin Williams,CLE,89,1.14,41.20%,29.90%,23.70%,40.60%,1.38,104.1
Jack Flaherty,DET,119,0.74,41.70%,30.70%,29.70%,44.70%,1.29,103.2
Tomoyuki Sugano,BAL,114,1.05,40.30%,33.10%,14.20%,38.20%,1.35,103
Brady Singer,CIN,112,0.87,43.20%,27.50%,20.90%,43.20%,1.39,102.1
