Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Start-IP,pred_ERA-,diff_ERA-
Paul Skenes,PIT,45,1.33,0.431,0.332,0.278,0.39799999999999996,0.91,127,78.1426479310878,33.142647931087794
Garrett Crochet,BOS,52,1.42,0.45899999999999996,0.34700000000000003,0.306,0.36700000000000005,1.06,135.1,64.53334374631993,12.533343746319929
Tarik Skubal,DET,54,1.08,0.493,0.376,0.34,0.326,0.81,127.2,52.747329333355836,-1.252670666644164
Matthew Boyd,CHC,54,0.87,0.462,0.349,0.23199999999999998,0.369,1.01,118.2,88.56698468802884,34.56698468802884
Blake Snell,SDP,54,1.3,0.326,0.308,0.315,0.337,1.19,180,74.24175692888367,20.241756928883675
Zack Wheeler,PHI,57,1.05,0.434,0.342,0.33399999999999996,0.33799999999999997,0.88,128,61.64762679439449,4.6476267943944904
Cristopher Sánchez,PHI,57,2.57,0.431,0.341,0.267,0.401,1.09,124,67.1275356895892,10.127535689589195
Jacob deGrom,TEX,57,1.09,0.451,0.353,0.26899999999999996,0.401,0.9,118.1,81.29948482100895,24.299484821008946
Kris Bubic,KCR,57,1.45,0.46,0.355,0.249,0.396,1.14,113.2,80.70525929121911,23.705259291219107
Chris Sale,ATL,57,1.34,0.435,0.369,0.321,0.307,1.01,177.2,58.45340030463342,1.4534003046334192
Tarik Skubal,DET,60,1.27,0.475,0.35200000000000004,0.303,0.335,0.92,192,62.26151054217477,2.2615105421747685
Max Fried,NYY,61,1.63,0.429,0.307,0.231,0.368,1.01,122,83.48064261966758,22.480642619667577
Zack Wheeler,PHI,61,1.09,0.42,0.364,0.285,0.332,0.96,200,73.91725302588316,12.917253025883156
Joe Ryan,MIN,62,0.74,0.46799999999999997,0.312,0.29600000000000004,0.405,0.9,111.1,77.36342207731995,15.363422077319953
Yoshinobu Yamamoto,LAD,62,1.67,0.413,0.331,0.284,0.405,1.05,109.1,75.34574895623108,13.345748956231077
Gerrit Cole,NYY,62,1.01,0.425,0.331,0.27,0.392,0.98,209,83.71733486315173,21.717334863151734
Hunter Brown,HOU,64,1.32,0.41100000000000003,0.326,0.312,0.32,0.99,119,64.53265539908556,0.5326553990855558
Sonny Gray,MIN,65,1.55,0.42200000000000004,0.318,0.243,0.39,1.15,184,84.29200237490736,19.292002374907355
Framber Valdez,HOU,67,2.83,0.436,0.33,0.249,0.469,1.13,128,74.59310238326107,7.593102383261069
Kyle Bradish,BAL,67,1.61,0.43200000000000005,0.305,0.25,0.419,1.04,168.2,83.69567427248215,16.69567427248215
Freddy Peralta,MIL,70,0.82,0.38,0.319,0.255,0.345,1.08,116.2,89.52109159194231,19.52109159194231
Seth Lugo,KCR,70,0.92,0.45399999999999996,0.282,0.218,0.46,1.09,107,100.95046793554981,30.95046793554981
Nick Pivetta,SDP,71,0.71,0.473,0.315,0.27899999999999997,0.423,1,115.1,83.04948227068816,12.04948227068816
Ronel Blanco,HOU,71,0.95,0.40299999999999997,0.337,0.24100000000000002,0.35600000000000004,1.09,165.1,90.18771465482006,19.187714654820056
Kodai Senga,NYM,71,1.23,0.382,0.299,0.29100000000000004,0.4,1.22,166.1,81.2535074184193,10.253507418419304
Seth Lugo,KCR,72,1.2,0.43,0.314,0.217,0.39,1.09,206.2,93.73397313886075,21.733973138860748
Shota Imanaga,CHC,72,0.82,0.43799999999999994,0.389,0.251,0.389,1.02,173.1,88.86600477467498,16.866004774674977
Michael King,SDP,72,1.09,0.41600000000000004,0.327,0.276,0.29600000000000004,1.17,170.1,73.04450028373009,1.0445002837300876
Justin Steele,CHC,72,1.7,0.467,0.35200000000000004,0.24600000000000002,0.366,1.17,173.1,75.02700063119076,3.0270006311907593
Robbie Ray,SFG,73,0.85,0.426,0.326,0.262,0.436,1.13,123.1,91.587311296187,18.587311296186996
David Peterson,NYM,73,2.35,0.42,0.317,0.203,0.452,1.22,115,91.13888943027838,18.138889430278383
Corbin Burnes,BAL,73,1.4,0.39899999999999997,0.36,0.231,0.316,1.1,194.1,84.10293702895434,11.102937028954344
Framber Valdez,HOU,73,3.02,0.425,0.312,0.24,0.44799999999999995,1.11,176.1,73.72734026241619,0.7273402624161918
Spencer Schwellenbach,ATL,74,1.55,0.483,0.36700000000000005,0.249,0.415,0.97,110.2,79.08317098733504,5.083170987335038
Tanner Houck,BOS,74,2.34,0.425,0.33799999999999997,0.207,0.413,1.14,178.2,86.02939546284757,12.029395462847575
Kevin Gausman,TOR,74,1.11,0.39899999999999997,0.345,0.311,0.43200000000000005,1.18,185,79.11421151357507,5.114211513575071
Cole Ragans,KCR,75,1.01,0.409,0.331,0.293,0.35200000000000004,1.14,186.1,75.91022272375,0.910222723749996
Jordan Montgomery,2 Tms,75,1.24,0.405,0.337,0.214,0.377,1.19,188.2,95.28462299739844,20.284622997398444
Merrill Kelly,ARI,75,1.33,0.386,0.36,0.259,0.418,1.19,177.2,89.21372465526247,14.213724655262467
Yusei Kikuchi,LAA,76,0.97,0.46399999999999997,0.298,0.244,0.424,1.38,118,89.61295107291778,13.612951072917781
Logan Webb,SFG,76,2.94,0.419,0.34600000000000003,0.228,0.455,1.07,216,78.8171982450758,2.817198245075801
Justin Verlander,2 Tms,76,0.79,0.433,0.34600000000000003,0.215,0.408,1.13,162.1,100.2654019758569,24.265401975856904
Logan Webb,SFG,77,2.14,0.424,0.332,0.258,0.386,1.21,131.2,73.42025304709243,-3.57974695290757
Carlos Rodón,NYY,77,0.93,0.373,0.327,0.275,0.418,1.05,124.2,91.15197835711308,14.15197835711308
Bryan Woo,SEA,77,0.94,0.48100000000000004,0.326,0.243,0.389,0.94,120.2,85.1148200742066,8.114820074206605
Nick Lodolo,CIN,77,0.97,0.436,0.34700000000000003,0.222,0.41700000000000004,1.08,113.2,97.10165564819015,20.101655648190146
Max Fried,ATL,78,2.53,0.413,0.321,0.23199999999999998,0.345,1.16,174.1,72.50232108086134,-5.497678919138664
Jack Flaherty,2 Tms,78,1.05,0.38,0.32899999999999996,0.299,0.349,1.07,161.3,76.64264388679901,-1.3573561132009928
Cristopher Sánchez,PHI,79,2.67,0.426,0.39299999999999996,0.203,0.34299999999999997,1.24,181.2,76.4542430653441,-2.5457569346558984
Bryce Miller,SEA,79,0.86,0.442,0.304,0.243,0.408,0.98,180.1,91.77759205878606,12.777592058786055
Zac Gallen,ARI,79,1.19,0.419,0.32899999999999996,0.26,0.46,1.12,210,91.2540959618779,12.254095961877894
Corbin Burnes,MIL,79,1.3,0.38,0.332,0.255,0.322,1.07,193.2,81.90283572494076,2.9028357249407577
Merrill Kelly,ARI,80,1.2,0.39899999999999997,0.34,0.242,0.43799999999999994,1.06,122,95.41134724328627,15.411347243286272
Michael Wacha,KCR,80,0.93,0.436,0.316,0.212,0.322,1.19,166.2,90.8492181566885,10.849218156688494
Erick Fedde,2 Tms,81,1.07,0.39899999999999997,0.29,0.212,0.377,1.16,176.4,98.29058917912117,17.29058917912117
Jameson Taillon,CHC,81,0.99,0.46799999999999997,0.31,0.185,0.386,1.13,165.1,99.64190522680373,18.64190522680373
Framber Valdez,HOU,81,2.13,0.445,0.315,0.248,0.451,1.13,198,80.08477259266138,-0.9152274073386195
Zack Wheeler,PHI,81,1.07,0.42100000000000004,0.366,0.26899999999999996,0.36200000000000004,1.08,192,80.80483942300705,-0.1951605769929472
Jesús Luzardo,MIA,81,0.98,0.402,0.34,0.281,0.39799999999999996,1.21,178.2,84.28510267857646,3.2851026785764645
Mitch Keller,PIT,83,1.23,0.48700000000000004,0.309,0.187,0.424,1.16,125,98.18670871565385,15.18670871565385
Charlie Morton,ATL,83,1.26,0.379,0.312,0.256,0.38799999999999996,1.43,163.1,88.55376345735444,5.553763457354435
Chris Bassitt,TOR,84,1.12,0.45899999999999996,0.297,0.225,0.35100000000000003,1.18,200,86.02107350785734,2.021073507857338
Luis Castillo,SEA,84,0.92,0.42200000000000004,0.355,0.273,0.418,1.1,197,86.80483714968788,2.8048371496878843
George Kirby,SEA,84,1.19,0.48200000000000004,0.374,0.22699999999999998,0.409,1.04,190.2,87.999398292274,3.9993982922739946
Luis Castillo,SEA,85,1.01,0.429,0.337,0.21,0.45,1.21,115,103.43868374681615,18.438683746816153
Aaron Nola,PHI,85,1.31,0.39899999999999997,0.34700000000000003,0.24,0.377,1.2,199.1,88.79561228618053,3.7956122861805284
Pablo López,MIN,85,1.25,0.428,0.377,0.292,0.345,1.15,194,70.85862499157257,-14.141375008427431
José Berríos,TOR,85,1.12,0.418,0.33299999999999996,0.235,0.358,1.19,189.2,88.40593225478915,3.4059322547891497
Zach Eflin,TBR,85,1.48,0.449,0.37200000000000005,0.265,0.349,1.02,177.2,73.08065081813389,-11.91934918186611
Michael Wacha,KCR,86,0.94,0.451,0.319,0.18100000000000002,0.322,1.24,112,96.74127288580502,10.741272885805017
Logan Gilbert,SEA,86,1.2,0.429,0.34299999999999997,0.27399999999999997,0.39299999999999996,0.89,208.2,80.298884669945,-5.7011153300550035
